Baseline
FEMALE
0-0
Weiss 				            & 0 & 0 & 0.230 & 0.352 & 0.268 \\
Afroamerikaner 			        & 0 & 0 & 0.348 & 0.237 & 0.211 \\
Asiaten				            & 0 & 0 & 0.008 & 0.002 & 0.012 \\
Latinoamerikaner		        & 0 & 0 & 0.313 & 0.210 & 0.220 \\
Amerkianische Ureinwohner	    & 0 & 0 & 0.180 & 0.101 & 0.144 \\
Andere 				            & 0 & 0 & 0.028 & 0.044 & 0.127 \\

0-1
Weiss 				            & 0 & 1 & 0.088 & 0.133 & 0.142 \\
Afroamerikaner 			        & 0 & 1 & 0.352 & 0.195 & 0.192 \\
Asiaten				            & 0 & 1 & 0.000 & 0.000 & 0.000 \\
Latinoamerikaner		        & 0 & 1 & 0.309 & 0.147 & 0.115 \\
Amerkianische Ureinwohner	    & 0 & 1 & 0.085 & 0.029 & 0.060 \\
Andere 				            & 0 & 1 & 0.049 & 0.027 & 0.031 \\

0-2
Weiss 				            & 0 & 2 & 0.023 & 0.019 & 0.057 \\
Afroamerikaner 			        & 0 & 2 & 0.245 & 0.104 & 0.116 \\
Asiaten				            & 0 & 2 & 0.000 & 0.000 & 0.000 \\
Latinoamerikaner		        & 0 & 2 & 0.068 & 0.021 & 0.042 \\
Amerkianische Ureinwohner	    & 0 & 2 & 0.031 & 0.005 & 0.008 \\
Andere           				& 0 & 2 & 0.014 & 0.006 & 0.007 \\

0-3
Weiss                           & 0 & 3 & 0.003 & 0.004 & 0.007 \\
Afroamerikaner                  & 0 & 3 & 0.111 & 0.026 & 0.035 \\
Asiaten                         & 0 & 3 & 0.000 & 0.000 & 0.000 \\
Latinoamerikaner                & 0 & 3 & 0.002 & 0.002 & 0.005 \\
Amerkianische Ureinwohner       & 0 & 3 & 0.010 & 0.002 & 0.002 \\
Andere                          & 0 & 3 & 0.003 & 0.002 & 0.001 \\

1-0
Weiss                           & 1 & 0 & 0.237 & 0.391 & 0.256 \\
Afroamerikaner                  & 1 & 0 & 0.470 & 0.305 & 0.238 \\
Asiaten                         & 1 & 0 & 0.011 & 0.012 & 0.117 \\
Latinoamerikaner                & 1 & 0 & 0.298 & 0.374 & 0.587 \\
Amerkianische Ureinwohner       & 1 & 0 & 0.610 & 0.130 & 0.166 \\
Andere                          & 1 & 0 & 0.101 & 0.115 & 0.137 \\

1-1
Weiss                           & 1 & 1 & 0.090 & 0.363 & 0.290 \\
Afroamerikaner                  & 1 & 1 & 0.543 & 0.225 & 0.190 \\
Asiaten                         & 1 & 1 & 0.002 & 0.004 & 0.018 \\
Latinoamerikaner                & 1 & 1 & 0.197 & 0.264 & 0.211 \\
Amerkianische Ureinwohner       & 1 & 1 & 0.216 & 0.077 & 0.172 \\
Andere                          & 1 & 1 & 0.082 & 0.115 & 0.117 \\

1-2
Weiss                           & 1 & 2 & 0.062 & 0.267 & 0.153 \\
Afroamerikaner                  & 1 & 2 & 0.301 & 0.137 & 0.148 \\
Asiaten                         & 1 & 2 & 0.001 & 0.001 & 0.005 \\
