No Gender

0-0
Weiss 				            & 0 & 0 & 0.381 & 0.303 & 0.313 \\
Afroamerikaner 			        & 0 & 0 & 0.461 & 0.284 & 0.279 \\
Asiaten				            & 0 & 0 & 0.460 & 0.015 & 0.096 \\
Latinoamerikaner		        & 0 & 0 & 0.461 & 0.186 & 0.143 \\
Amerkianische Ureinwohner	    & 0 & 0 & 0.535 & 0.208 & 0.313 \\
Andere 				            & 0 & 0 & 0.465 & 0.292 & 0.215 \\

0-1
Weiss 				            & 0 & 1 & 0.374 & 0.226 & 0.140 \\
Afroamerikaner 			        & 0 & 1 & 0.485 & 0.287 & 0.204 \\
Asiaten				            & 0 & 1 & 0.040 & 0.003 & 0.005 \\
Latinoamerikaner		        & 0 & 1 & 0.369 & 0.229 & 0.123 \\
Amerkianische Ureinwohner	    & 0 & 1 & 0.461 & 0.228 & 0.160 \\
Andere 				            & 0 & 1 & 0.367 & 0.127 & 0.076 \\

0-2
Weiss 				            & 0 & 2 & 0.288 & 0.131 & 0.077 \\
Afroamerikaner 			        & 0 & 2 & 0.367 & 0.182 & 0.111 \\
Asiaten				            & 0 & 2 & 0.006 & 0.001 & 0.000 \\
Latinoamerikaner		        & 0 & 2 & 0.265 & 0.150 & 0.058 \\
Amerkianische Ureinwohner	    & 0 & 2 & 0.429 & 0.158 & 0.058 \\
Andere 				            & 0 & 2 & 0.225 & 0.081 & 0.037 \\

0-3
Weiss                           & 0 & 3 & 0.157 & 0.080 & 0.030 \\
Afroamerikaner                  & 0 & 3 & 0.259 & 0.106 & 0.049 \\
Asiaten                         & 0 & 3 & 0.002 & 0.000 & 0.000 \\
Latinoamerikaner                & 0 & 3 & 0.140 & 0.081 & 0.018 \\
Amerkianische Ureinwohner       & 0 & 3 & 0.278 & 0.097 & 0.021 \\
Andere                          & 0 & 3 & 0.116 & 0.052 & 0.019 \\

1-0
Weiss                           & 1 & 0 & 0.441 & 0.367 & 0.231 \\
Afroamerikaner                  & 1 & 0 & 0.618 & 0.300 & 0.152 \\
Asiaten                         & 1 & 0 & 0.485 & 0.117 & 0.331 \\
Latinoamerikaner                & 1 & 0 & 0.467 & 0.349 & 0.317 \\
Amerkianische Ureinwohner       & 1 & 0 & 0.706 & 0.114 & 0.302 \\
Andere                          & 1 & 0 & 0.614 & 0.362 & 0.200 \\

1-1
Weiss                           & 1 & 1 & 0.229 & 0.364 & 0.216 \\
Afroamerikaner                  & 1 & 1 & 0.604 & 0.313 & 0.304 \\
Asiaten                         & 1 & 1 & 0.073 & 0.010 & 0.016 \\
Latinoamerikaner                & 1 & 1 & 0.475 & 0.298 & 0.191 \\
Amerkianische Ureinwohner       & 1 & 1 & 0.170 & 0.158 & 0.361 \\
Andere                          & 1 & 1 & 0.325 & 0.363 & 0.279 \\

1-2
Weiss                           & 1 & 2 & 0.279 & 0.365 & 0.222 \\
Afroamerikaner                  & 1 & 2 & 0.300 & 0.355 & 0.303 \\
Asiaten                         & 1 & 2 & 0.022 & 0.003 & 0.001 \\
