No Race
MALE

0 & 0 & 0.467 & 0.308 & 0.205 \\
0 & 1 & 0.470 & 0.273 & 0.173 \\
0 & 2 & 0.473 & 0.286 & 0.151 \\
0 & 3 & 0.511 & 0.320 & 0.153 \\

1 & 0 & 0.600 & 0.360 & 0.265 \\
1 & 1 & 0.503 & 0.354 & 0.237 \\
1 & 2 & 0.520 & 0.357 & 0.248 \\
1 & 3 & 0.561 & 0.362 & 0.264 \\

2 & 0 & 0.670 & 0.434 & 0.283 \\
2 & 1 & 0.642 & 0.352 & 0.292 \\
2 & 2 & 0.580 & 0.364 & 0.305 \\
2 & 3 & 0.596 & 0.370 & 0.316 \\

3 & 0 & 0.725 & 0.553 & 0.325 \\
3 & 1 & 0.702 & 0.528 & 0.348 \\
3 & 2 & 0.634 & 0.333 & 0.356 \\
3 & 3 & 0.560 & 0.354 & 0.362 \\





